"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CROPYIELD","RICE","TONNE_HA","A","2017",7.267326118,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2017",1.736503317,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2017",3.337823246,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2017",5.144812218,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2017",4.135787268,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2017",5.263045768,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2017",4.271604325,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2017",4.063795101,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2017",5.14890511,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2017",9.975609756,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2017",4.909090996,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","2017",2.773406267,
"USA","CROPYIELD","RICE","TONNE_HA","A","2017",5.865637271,
"USA","CROPYIELD","WHEAT","TONNE_HA","A","2017",3.113981076,
"ARG","CROPYIELD","RICE","TONNE_HA","A","2017",4.526657501,
"ARG","CROPYIELD","WHEAT","TONNE_HA","A","2017",3.231597846,
"BRA","CROPYIELD","RICE","TONNE_HA","A","2017",4.231866421,
"BRA","CROPYIELD","WHEAT","TONNE_HA","A","2017",2.541454377,
"CHL","CROPYIELD","RICE","TONNE_HA","A","2017",4.111323357,
"CHL","CROPYIELD","WHEAT","TONNE_HA","A","2017",5.291110992,
"CHN","CROPYIELD","RICE","TONNE_HA","A","2017",4.733717487,
"CHN","CROPYIELD","WHEAT","TONNE_HA","A","2017",5.409337224,
"COL","CROPYIELD","RICE","TONNE_HA","A","2017",2.876108885,
"COL","CROPYIELD","WHEAT","TONNE_HA","A","2017",1.0625,
"EGY","CROPYIELD","RICE","TONNE_HA","A","2017",6.713741303,
"EGY","CROPYIELD","WHEAT","TONNE_HA","A","2017",6.636500835,
"ETH","CROPYIELD","RICE","TONNE_HA","A","2017",1.890909076,
"ETH","CROPYIELD","WHEAT","TONNE_HA","A","2017",2.777777672,
"IND","CROPYIELD","RICE","TONNE_HA","A","2017",2.551487207,
"IND","CROPYIELD","WHEAT","TONNE_HA","A","2017",3.095686197,
"IDN","CROPYIELD","RICE","TONNE_HA","A","2017",3.306326628,
"IDN","CROPYIELD","WHEAT","TONNE_HA","A","2017",1,
"IRN","CROPYIELD","RICE","TONNE_HA","A","2017",3.224999905,
"IRN","CROPYIELD","WHEAT","TONNE_HA","A","2017",2.2062428,
"KAZ","CROPYIELD","RICE","TONNE_HA","A","2017",3.057879686,
"KAZ","CROPYIELD","WHEAT","TONNE_HA","A","2017",1.169945121,
"MYS","CROPYIELD","RICE","TONNE_HA","A","2017",2.558475494,
"MYS","CROPYIELD","WHEAT","TONNE_HA","A","2017",1,
"NGA","CROPYIELD","RICE","TONNE_HA","A","2017",1.10309279,
"NGA","CROPYIELD","WHEAT","TONNE_HA","A","2017",2.114285708,
"PAK","CROPYIELD","RICE","TONNE_HA","A","2017",2.566449881,
"PAK","CROPYIELD","WHEAT","TONNE_HA","A","2017",2.805010796,
"PRY","CROPYIELD","RICE","TONNE_HA","A","2017",4.576125145,
"PRY","CROPYIELD","WHEAT","TONNE_HA","A","2017",1.917808175,
"PHL","CROPYIELD","RICE","TONNE_HA","A","2017",2.634930611,
"PHL","CROPYIELD","WHEAT","TONNE_HA","A","2017",1,
"RUS","CROPYIELD","RICE","TONNE_HA","A","2017",5.267411168,
"RUS","CROPYIELD","WHEAT","TONNE_HA","A","2017",3.077597518,
"SAU","CROPYIELD","RICE","TONNE_HA","A","2017",1,
"SAU","CROPYIELD","WHEAT","TONNE_HA","A","2017",0.083333336,
"ZAF","CROPYIELD","RICE","TONNE_HA","A","2017",2,
"ZAF","CROPYIELD","WHEAT","TONNE_HA","A","2017",2.920792103,
"THA","CROPYIELD","RICE","TONNE_HA","A","2017",2.016867399,
"THA","CROPYIELD","WHEAT","TONNE_HA","A","2017",1,
"UKR","CROPYIELD","RICE","TONNE_HA","A","2017",3.355905533,
"UKR","CROPYIELD","WHEAT","TONNE_HA","A","2017",4.1271348,
"VNM","CROPYIELD","RICE","TONNE_HA","A","2017",3.608499765,
"VNM","CROPYIELD","WHEAT","TONNE_HA","A","2017",1,
"WLD","CROPYIELD","RICE","TONNE_HA","A","2017",3.08709971,
"WLD","CROPYIELD","WHEAT","TONNE_HA","A","2017",3.444181433,
"OECD","CROPYIELD","RICE","TONNE_HA","A","2017",5.239375959,
"OECD","CROPYIELD","WHEAT","TONNE_HA","A","2017",3.866508768,
"BRICS","CROPYIELD","RICE","TONNE_HA","A","2017",3.477671297,
"BRICS","CROPYIELD","WHEAT","TONNE_HA","A","2017",3.719722559,
"NOR","CROPYIELD","WHEAT","TONNE_HA","A","2017",4.262326763,
"CHE","CROPYIELD","WHEAT","TONNE_HA","A","2017",5.963855422,
"EU28","CROPYIELD","RICE","TONNE_HA","A","2017",4.006477156,
"EU28","CROPYIELD","WHEAT","TONNE_HA","A","2017",5.752039963,
"IRN","CROPYIELD","MAIZE","TONNE_HA","A","2017",4.245283127,
"KAZ","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.056074858,
